transaction_id,TransactionType,Amount,TransactionDate_ID
391,withdrawal,288.83,385
392,withdrawal,169.59,95
393,withdrawal,483.56,969
394,deposit,400.2,1459
396,withdrawal,251.96,372
398,withdrawal,82.62,813
399,deposit,46.84,582
400,deposit,144.38,941
402,withdrawal,75.9,30
403,deposit,334.44,284
405,deposit,90.96,687
406,deposit,259.24,672
407,withdrawal,141.26,849
409,deposit,173.43,154
411,withdrawal,175.83,849
412,deposit,149.3,507
413,deposit,273.78,118
414,withdrawal,213.23,930
415,withdrawal,349.89,1349
416,withdrawal,49.75,13
417,deposit,480.38,975
418,withdrawal,319.03,692
419,deposit,404.93,385
422,deposit,207.53,480
423,withdrawal,39.69,1374
424,withdrawal,328.36,1429
425,withdrawal,389.75,131
426,deposit,294.51,1294
427,deposit,97.28,600
428,deposit,359.38,1149
429,deposit,352.67,1205
430,deposit,252.03,1440
431,deposit,87.19,1198
432,withdrawal,336.68,1162
433,withdrawal,117.2,34
435,deposit,269.72,792
436,withdrawal,394.14,694
438,deposit,348.35,735
440,deposit,345.24,1027
441,withdrawal,96.95,910
442,withdrawal,386.17,565
443,deposit,363.68,1143
444,deposit,49.79,1054
445,withdrawal,305.06,1417
446,deposit,82.96,793
447,deposit,268.32,1470
448,deposit,256.19,1458
449,withdrawal,94.04,521
451,withdrawal,206.23,41
452,deposit,365.32,535
453,withdrawal,402.94,854
454,deposit,272.3,1315
456,withdrawal,53.41,1466
457,withdrawal,268.05,103
458,withdrawal,56.55,1265
461,deposit,39.96,1096
462,deposit,134.8,446
463,deposit,271.95,293
464,deposit,166.03,823
465,withdrawal,461.82,1063
466,withdrawal,409.38,1106
468,withdrawal,447.32,342
469,deposit,29.91,106
470,withdrawal,280.67,51
471,withdrawal,60.95,5
472,deposit,330.14,700
473,withdrawal,338.91,137
475,deposit,221.71,1359
476,deposit,227.09,913
477,withdrawal,98.26,1214
478,deposit,69.6,810
479,deposit,116.7,576
482,withdrawal,394.32,166
483,withdrawal,337.16,832
484,withdrawal,482.81,1378
485,deposit,186.9,524
486,withdrawal,289.72,285
487,withdrawal,352.65,1167
488,deposit,221.66,878
489,deposit,224.21,276
490,deposit,359.29,553
491,deposit,100.25,928
492,deposit,451.04,897
493,withdrawal,330.1,613
494,deposit,382.19,942
495,deposit,157.69,671
496,withdrawal,499.74,52
497,deposit,147.12,719
498,withdrawal,29.67,410
499,deposit,421.41,1115
501,deposit,318.2,206
502,deposit,180.25,175
503,withdrawal,200.51,857
506,withdrawal,207.57,832
507,withdrawal,447.55,828
508,withdrawal,286.73,115
509,deposit,365.94,525
510,withdrawal,111.06,945
512,withdrawal,108.9,370
513,withdrawal,256.33,887
515,deposit,447.2,780
517,deposit,447.89,1121
518,deposit,110.55,1497
519,withdrawal,386.76,975
521,withdrawal,84.98,84
522,deposit,316.92,1478
523,deposit,331.85,1092
524,deposit,198.58,457
525,withdrawal,361.25,331
526,withdrawal,296.02,564
527,withdrawal,473.48,1362
528,withdrawal,414.79,1131
529,deposit,399.56,1022
531,deposit,417.56,1379
532,withdrawal,266.32,174
533,withdrawal,348.23,1262
534,deposit,104.22,27
535,deposit,212.75,397
536,withdrawal,350.94,869
538,deposit,391.2,412
540,withdrawal,218.65,37
542,deposit,56.06,1281
544,withdrawal,257.96,238
545,withdrawal,425.28,1141
546,withdrawal,371.31,1143
547,withdrawal,327.44,683
548,withdrawal,60.05,775
549,withdrawal,478.11,1339
550,withdrawal,439.76,371
551,withdrawal,465.86,418
552,deposit,472.21,308
553,withdrawal,140.99,1419
554,deposit,194.16,1163
555,withdrawal,243.5,1203
556,deposit,481.86,797
558,withdrawal,109.41,816
559,deposit,178.26,1227
560,withdrawal,323.57,95
565,deposit,482.11,194
566,withdrawal,426.9,144
567,deposit,175.91,1378
568,deposit,63.97,836
569,withdrawal,429.33,1141
571,deposit,175.14,319
572,deposit,78.41,880
575,withdrawal,280.85,1367
576,withdrawal,196.15,395
577,withdrawal,60.08,1298
578,deposit,63.66,86
579,withdrawal,30.08,502
580,deposit,123.56,231
582,withdrawal,413.83,943
583,withdrawal,343.51,1279
584,withdrawal,143.18,693
586,deposit,397.94,318
588,withdrawal,487.96,171
589,deposit,420.75,1042
590,withdrawal,155.67,198
591,deposit,460.51,918
592,deposit,202.06,270
594,deposit,346.16,1268
595,deposit,336.35,754
597,deposit,306.87,846
599,deposit,440.25,518
600,deposit,305.68,960
601,deposit,270.43,999
602,withdrawal,243.29,71
603,deposit,447.97,992
605,withdrawal,213.02,278
606,withdrawal,149.04,622
607,deposit,220.23,610
608,withdrawal,163.08,248
609,deposit,229.77,1153
610,withdrawal,264.1,109
611,deposit,344.12,1274
612,deposit,81.21,1108
613,deposit,152.49,354
614,deposit,296.87,278
617,withdrawal,417.49,1233
618,deposit,164.26,1294
620,deposit,382.29,1012
621,withdrawal,431.9,154
622,withdrawal,314.26,159
623,withdrawal,436.82,1189
624,withdrawal,400.98,409
625,withdrawal,147.84,1065
626,withdrawal,375.34,81
627,deposit,99.94,442
628,withdrawal,303.8,410
629,withdrawal,128.35,691
630,withdrawal,273.11,60
632,deposit,397.28,677
634,deposit,172.5,456
635,withdrawal,107.07,919
636,withdrawal,217.2,1192
637,withdrawal,231.63,858
638,withdrawal,241.14,1155
640,deposit,383.33,262
641,withdrawal,443.16,822
643,withdrawal,269.25,397
645,deposit,273.08,1206
646,withdrawal,188.36,527
647,withdrawal,206.1,424
648,withdrawal,384.3,213
649,withdrawal,271.14,1418
650,deposit,285.47,237
651,withdrawal,37.57,329
652,withdrawal,336.6,615
654,deposit,369.02,1488
655,deposit,195.62,213
656,deposit,198.72,1057
657,withdrawal,245.28,153
658,withdrawal,230.88,557
659,withdrawal,82.92,1278
660,withdrawal,20.74,1036
661,deposit,160.14,1368
663,deposit,100.57,1272
664,withdrawal,333.64,1320
665,deposit,301.47,928
666,deposit,393.86,470
668,deposit,207.68,1387
669,deposit,69.98,251
672,deposit,279.09,891
673,withdrawal,457.32,651
676,withdrawal,55.73,366
677,withdrawal,160.37,1
678,withdrawal,344.11,983
680,withdrawal,267.72,588
681,deposit,314.01,234
682,withdrawal,419.19,1192
683,deposit,468.99,777
684,deposit,49.37,1443
685,withdrawal,180.31,1204
686,deposit,443.22,1499
687,deposit,475.03,721
688,deposit,298.15,994
689,withdrawal,486.54,1490
690,deposit,214.98,394
691,withdrawal,381.46,1093
693,deposit,354.62,1291
694,deposit,307.95,363
695,withdrawal,349.73,886
697,withdrawal,44.05,819
698,withdrawal,249.22,483
699,deposit,372.74,796
702,withdrawal,42.19,64
703,withdrawal,149.9,878
704,withdrawal,298.12,59
705,deposit,460.47,792
706,withdrawal,143.86,692
707,deposit,304.73,91
708,withdrawal,469.8,1165
709,deposit,61.28,1245
710,deposit,50.37,1092
711,withdrawal,368.28,951
713,deposit,100.4,1381
715,withdrawal,41.77,533
716,withdrawal,375.37,102
717,deposit,464.81,1353
718,withdrawal,98.94,44
719,withdrawal,365.05,302
720,withdrawal,355.71,1477
721,withdrawal,405.08,7
722,withdrawal,54.73,1414
723,withdrawal,221.87,274
724,deposit,330.56,1396
725,withdrawal,350.19,1452
726,withdrawal,491.4,704
727,deposit,432.95,932
728,withdrawal,153.95,1081
729,deposit,459.81,1022
730,deposit,439.47,606
732,deposit,265.49,841
733,withdrawal,288.39,953
735,withdrawal,224.77,1012
736,deposit,285.31,1466
737,deposit,499.43,96
739,deposit,328.19,938
740,deposit,438.4,558
742,deposit,152.27,1101
743,withdrawal,374.65,914
744,deposit,438.99,284
745,withdrawal,291.71,242
746,withdrawal,164.82,1328
747,withdrawal,415.56,116
749,withdrawal,484.75,197
750,withdrawal,458.76,1450
751,withdrawal,253.72,434
753,withdrawal,81.57,667
754,deposit,373.26,1393
756,withdrawal,117.9,107
757,deposit,467.19,511
758,withdrawal,442.31,1412
759,deposit,63.38,1149
760,deposit,412.57,130
761,deposit,237.52,1162
762,withdrawal,246.77,504
763,withdrawal,425.53,1463
765,deposit,321.71,191
767,deposit,403.99,707
768,withdrawal,61.58,276
769,deposit,175.05,39
770,withdrawal,420.79,523
774,deposit,235.49,599
776,deposit,466.84,145
777,deposit,184.9,1423
778,withdrawal,171.77,1407
779,deposit,264.39,91
780,deposit,116.87,1246
781,deposit,35.78,1278
782,withdrawal,364.72,615
783,deposit,461.45,570
784,deposit,495.3,305
785,withdrawal,264.32,129
786,deposit,165.52,1320
787,withdrawal,280.39,256
788,deposit,227.52,131
789,deposit,387.54,214
790,withdrawal,423.28,843
791,deposit,100.34,232
793,deposit,405.47,1144
794,deposit,113.28,1179
795,deposit,67.51,729
796,withdrawal,375.39,1095
798,deposit,278.74,164
799,deposit,138.12,1185
801,deposit,45.34,497
802,withdrawal,166.31,1097
803,withdrawal,136.9,273
804,deposit,107.09,538
805,withdrawal,319.84,1178
807,deposit,271.67,1216
808,deposit,345.14,1278
809,deposit,71.1,415
810,deposit,57.84,325
811,withdrawal,318.38,81
812,deposit,378.28,398
813,deposit,87.79,496
814,withdrawal,211.13,597
815,withdrawal,367.84,1094
816,deposit,485.76,1332
817,withdrawal,466.1,1053
818,deposit,494.63,1323
819,withdrawal,21.32,1283
820,withdrawal,499.36,1242
821,deposit,132.89,580
822,withdrawal,48.55,1129
823,withdrawal,43.47,1479
824,withdrawal,116.77,1008
825,deposit,173.35,26
826,withdrawal,378.88,1233
828,withdrawal,375.91,1131
829,deposit,406.52,85
830,withdrawal,205.97,96
831,deposit,59.2,596
832,withdrawal,485.29,1332
833,withdrawal,362.98,577
835,withdrawal,177.93,364
836,withdrawal,481.91,512
838,withdrawal,230.93,1308
839,withdrawal,347.3,1408
840,withdrawal,400.25,352
841,deposit,152.3,385
842,deposit,151.04,1413
844,withdrawal,134.21,1280
845,withdrawal,53.36,661
846,deposit,303.79,1418
849,withdrawal,168.52,1426
850,withdrawal,182.03,670
851,deposit,248.92,643
852,deposit,250.75,860
853,withdrawal,375.89,1214
854,deposit,486.32,260
855,deposit,129.53,1274
856,withdrawal,400.19,987
857,deposit,45.15,1295
858,withdrawal,168.76,1193
860,deposit,255.19,74
861,deposit,99.57,22
862,withdrawal,273.01,387
864,withdrawal,130.18,367
865,withdrawal,244.97,1034
866,withdrawal,35.55,507
867,withdrawal,97.69,997
868,withdrawal,54.28,1086
869,deposit,447.56,572
870,deposit,205.89,496
871,deposit,235.7,39
872,deposit,54.83,356
873,withdrawal,206.36,578
874,deposit,343.63,529
875,deposit,199.47,974
877,deposit,461.68,124
878,deposit,150.94,1477
879,deposit,53.28,379
882,deposit,498.69,181
883,deposit,157.75,322
884,withdrawal,442.35,408
885,withdrawal,29.94,863
887,deposit,413.38,356
889,deposit,194.21,859
890,deposit,255.18,554
891,deposit,431.8,1113
892,withdrawal,372.59,835
893,withdrawal,104.89,1381
896,deposit,354.18,792
897,deposit,41.51,840
898,withdrawal,123.69,284
899,withdrawal,74.05,445
902,deposit,432.41,405
903,withdrawal,183.25,196
904,withdrawal,171.76,1112
905,deposit,133.29,625
906,withdrawal,272.05,493
907,withdrawal,70.46,1263
908,deposit,252.15,578
909,withdrawal,495.55,687
910,deposit,72.66,3
911,deposit,477.01,41
913,withdrawal,232.51,668
914,withdrawal,143.16,786
915,deposit,480.59,1343
916,deposit,75.34,1160
917,withdrawal,137.11,1334
918,deposit,431.4,694
919,deposit,464.69,273
921,withdrawal,462.68,634
922,withdrawal,273.4,144
923,withdrawal,34.46,75
924,deposit,368.39,94
925,deposit,356.26,1347
926,deposit,499.21,304
927,deposit,214.46,60
928,withdrawal,419.21,1241
929,deposit,195.26,160
930,deposit,273.38,1291
931,deposit,195.41,410
932,withdrawal,342.17,720
933,deposit,185.92,457
934,withdrawal,199.22,213
935,withdrawal,317.19,1439
936,withdrawal,85.14,1469
938,withdrawal,192.76,274
939,withdrawal,22.67,1153
940,deposit,62.5,737
941,deposit,266.13,1422
942,deposit,428.93,960
943,withdrawal,47.81,1279
945,deposit,496.21,195
946,deposit,29.98,471
947,deposit,85.43,1065
949,deposit,154.29,70
950,deposit,329.5,1216
951,deposit,137.52,129
952,withdrawal,280.95,647
953,withdrawal,112.51,314
955,withdrawal,343.17,267
956,deposit,464.51,1267
957,withdrawal,51.63,1382
958,withdrawal,320.77,1041
959,deposit,76.52,292
960,deposit,40.51,571
962,withdrawal,297.7,268
963,withdrawal,137.05,454
964,deposit,291.47,618
965,deposit,276.04,1350
966,withdrawal,252.36,75
967,withdrawal,272.85,924
968,withdrawal,329.84,274
970,deposit,138.58,57
971,withdrawal,50.48,663
972,withdrawal,287.54,422
973,withdrawal,425.05,252
976,withdrawal,438.42,1212
977,withdrawal,411.27,446
978,withdrawal,311.09,1054
979,withdrawal,61.01,689
980,deposit,452.94,73
981,deposit,108.92,556
982,withdrawal,268.3,825
983,deposit,388.27,1357
985,withdrawal,488.42,391
987,withdrawal,58.06,106
988,deposit,201.64,548
991,withdrawal,360.28,1347
994,withdrawal,499.3,108
995,withdrawal,31.22,156
996,withdrawal,303.3,1286
997,deposit,484.0,362
998,withdrawal,427.36,1266
999,withdrawal,415.01,771
1000,deposit,115.48,655
